net,perf,dec_precard,dec_late,dec_pfc_precard,dec_sr_precard,rec_pfc_maint,rec_sr_maint,rec_pfc_iti,recov_ratio
success_2023-05-01-09-44-09_wcst_41_final_ma,0.92,0.9099999999999999,0.9200000000000002,0.9100000000000001,0.8400000000000001,25.834858778609778,34.452621466221025,25.678112903609872,0.049556650704672994
success_2023-05-01-09-44-09_wcst_46_final_ma,0.93,0.9100000000000001,0.93,0.8800000000000001,0.78,22.98304657017201,26.24557572943857,23.621401987969875,0.05803674875593957
success_2023-05-01-09-44-09_wcst_18_final_ma,0.89,0.9,0.85,0.9,0.78,16.264822698051574,21.70025700167287,17.474471228197217,0.1581782151062596
success_2023-05-01-09-44-09_wcst_83_final_ma,0.93,0.9199999999999999,0.9099999999999999,0.89,0.8300000000000001,25.041602472942323,19.3035200514787,25.316414681263268,0.08658809158519575
success_2023-05-01-09-44-09_wcst_17_final_ma,0.93,0.93,0.9199999999999999,0.9200000000000002,0.8699999999999999,28.569786558271154,30.442885907599702,30.94039158569649,0.07112618509966002
success_2023-05-01-09-44-09_wcst_49_final_ma,0.93,0.9200000000000002,0.9200000000000002,0.9000000000000001,0.8,22.874974314039573,26.879962332774884,23.4457198837772,0.04653055544444267
success_2023-05-01-09-44-09_wcst_95_final_ma,0.92,0.9099999999999999,0.9,0.9000000000000001,0.8,16.484253007904044,18.695502218347976,17.45445212861523,0.04173106992064274
success_2023-05-01-09-44-09_wcst_63_final_ma,0.93,0.9199999999999999,0.9400000000000001,0.9,0.8699999999999999,33.90847435941512,31.10465560383687,36.496873814146966,0.08352694024576957
success_2023-05-01-09-44-09_wcst_48_final_ma,0.93,0.89,0.93,0.9,0.6,17.650929030198604,22.819951540818437,17.072705967351794,0.10237944490072753
success_2023-05-01-09-44-09_wcst_93_final_ma,0.93,0.9199999999999999,0.9200000000000002,0.9200000000000002,0.7699999999999999,27.007444955266546,20.655629851479315,29.602027021348476,0.11472207983120028
success_2023-05-01-09-44-09_wcst_23_final_ma,0.93,0.9199999999999999,0.93,0.9,0.85,20.751438355946448,27.74926306243753,21.80892561748624,0.15572265393443807
success_2023-05-01-09-44-09_wcst_85_final_ma,0.91,0.9200000000000002,0.9100000000000001,0.9099999999999999,0.86,18.30413798588037,21.517226307319945,18.84291282761842,0.04730488384158781
success_2023-05-01-09-44-09_wcst_40_final_ma,0.93,0.93,0.9199999999999999,0.9200000000000002,0.85,28.32834777664277,36.50980690515134,29.59201267687604,0.052273285473211764
success_2023-05-01-09-44-09_wcst_80_final_ma,0.93,0.93,0.93,0.9200000000000002,0.8799999999999999,34.9403318976285,23.56532961377059,33.89068240299821,0.0699752652467981
success_2023-05-01-09-44-09_wcst_78_final_ma,0.89,0.9199999999999999,0.89,0.9200000000000002,0.8400000000000001,16.584682410609968,16.45678180683346,18.14070873055607,0.08495480234902432
