net,n_pv_total,perf_pv0,div_pv0,dec_pv0,perf_pv2,div_pv2,dec_pv2,perf_pv5,div_pv5,dec_pv5,perf_pv10,div_pv10,dec_pv10,perf_pv15,div_pv15,dec_pv15,perf_pv20,div_pv20,dec_pv20,perf_sst,div_sst,perf_vip,div_vip
success_2023-05-01-09-44-09_wcst_83_final_maybe.zip,20,0.93,0.0,0.9099999999999999,0.93,0.0,0.9099999999999999,0.93,0.0,0.9099999999999999,0.42,0.0,0.53,0.54,0.0,0.54,0.0,0.98,,0.37,0.0,0.93,0.0
success_2023-05-01-09-44-09_wcst_85_final_maybe.zip,20,0.91,0.0,0.9,0.64,0.0,0.6100000000000001,0.45,0.0,0.5700000000000001,0.46,0.0,0.54,0.01,0.95,,0.0,0.97,,0.48,0.0,0.91,0.0
success_2023-05-01-09-44-09_wcst_86_final_maybe.zip,20,0.93,0.0,0.9099999999999999,0.93,0.0,0.9,0.92,0.0,0.8899999999999999,0.42,0.0,0.5900000000000001,0.28,0.0,0.57,0.01,0.97,,0.31,0.0,0.93,0.0
success_2023-05-01-09-44-09_wcst_87_final_maybe.zip,20,0.93,0.0,0.93,0.93,0.0,0.93,0.85,0.0,0.8300000000000001,0.51,0.0,0.52,0.33,0.0,0.5,0.02,0.97,,0.34,0.0,0.93,0.0
success_2023-05-01-09-44-09_wcst_88_final_maybe.zip,20,0.91,0.0,0.9,0.71,0.0,0.61,0.5,0.0,0.57,0.46,0.0,0.5599999999999999,0.02,0.95,,0.02,0.98,,0.32,0.0,0.91,0.0
success_2023-05-01-09-44-09_wcst_89_final_maybe.zip,20,0.93,0.0,0.9199999999999999,0.93,0.0,0.93,0.47,0.0,0.55,0.43,0.0,0.63,0.0,0.96,,0.0,0.98,,0.33,0.0,0.93,0.0
success_2023-05-01-09-44-09_wcst_90_final_maybe.zip,20,0.93,0.0,0.9,0.92,0.0,0.8699999999999999,0.72,0.0,0.6599999999999999,0.45,0.0,0.6,0.0,0.97,,0.0,0.98,,0.34,0.0,0.92,0.0
success_2023-05-01-09-44-09_wcst_91_final_maybe.zip,20,0.74,0.0,0.6199999999999999,0.72,0.0,0.6300000000000001,0.45,0.0,0.5900000000000001,0.45,0.0,0.56,0.01,0.97,,0.0,0.98,,0.42,0.0,0.76,0.0
success_2023-05-01-09-44-09_wcst_93_final_maybe.zip,20,0.93,0.0,0.9,0.93,0.0,0.9100000000000001,0.56,0.0,0.6599999999999999,0.47,0.0,0.6,0.0,0.98,,0.0,0.98,,0.06,0.8,0.93,0.0
success_2023-05-01-09-44-09_wcst_95_final_maybe.zip,20,0.92,0.0,0.8699999999999999,0.92,0.0,0.8799999999999999,0.61,0.0,0.63,0.48,0.0,0.54,0.01,0.97,,0.0,0.98,,0.44,0.0,0.92,0.0
success_2023-05-01-09-44-09_wcst_96_final_maybe.zip,20,0.93,0.0,0.9099999999999999,0.93,0.0,0.9,0.93,0.0,0.9100000000000001,0.44,0.0,0.67,0.38,0.0,0.51,0.02,0.96,,0.33,0.0,0.93,0.0
success_2023-05-01-09-44-09_wcst_98_final_maybe.zip,20,0.82,0.0,0.7699999999999999,0.81,0.0,0.7699999999999999,0.68,0.0,0.8099999999999999,0.44,0.0,0.5900000000000001,0.29,0.0,0.51,0.0,0.96,,0.37,0.0,0.85,0.0
