name,regime,dend_nonlin,dend_type,srsst_sparsity,n_sr_esoma,n_pfc_esoma,trial_end,batch_size,test_perf,test_perf_rule,torch_seed
success_2023-05-01-09-44-09_wcst_63_final_maybe,fast_main,subtractive,additive,0.6,70,70,2100,10,0.95,0.95,2
success_2023-05-10-14-28-42_wcst_156_sparsity0,sparsity0,divisive_2,additive,0.0,70,70,2100,10,0.95,0.95,5
success_2024-01-04-12-22-50_wcst_2_early_stopping_var_iti,var_iti,subtractive,additive,0.0,70,70,2100,10,0.8095,0.839,1
success_2023-05-01-09-44-09_wcst_131_final_maybe,fast_main,divisive_2,additive,0.2,70,70,2100,10,0.955,0.955,0
success_2023-05-01-09-44-09_wcst_179_final_maybe,fast_main,divisive_2,additive,0.6,70,70,2100,10,0.955,0.955,8
success_2023-05-10-14-28-42_wcst_200_sparsity0,sparsity0,divisive_2,additive,0.0,70,70,2100,10,0.95,0.95,49
success_2023-05-10-14-28-42_wcst_122_sparsity0,sparsity0,divisive_2,additive,0.0,70,70,2100,10,0.95,0.95,21
success_2024-01-02-14-42-38_wcst_18_early_stopping_correct2,slow_earlystop,subtractive,additive,0.0,70,70,2100,10,0.809,0.827,17
success_2024-01-02-14-42-38_wcst_80_early_stopping_correct2,slow_earlystop,divisive_2,additive,0.0,70,70,2100,10,0.902,0.8955,19
success_2023-05-10-14-28-42_wcst_20_sparsity0,sparsity0,subtractive,additive,0.0,70,70,2100,10,0.955,0.955,19
success_2023-05-01-09-44-09_wcst_181_final_maybe,fast_main,divisive_2,additive,0.8,70,70,2100,10,0.95,0.95,0
success_2024-01-02-14-42-38_wcst_9_early_stopping_correct2,slow_earlystop,subtractive,additive,0.0,70,70,2100,10,0.8135,0.8,8
success_2023-05-10-14-28-42_wcst_131_sparsity0,sparsity0,divisive_2,additive,0.0,70,70,2100,10,0.95,0.95,30
success_2023-05-10-14-28-42_wcst_19_sparsity0,sparsity0,subtractive,additive,0.0,70,70,2100,10,0.949,0.949,18
success_2024-01-02-14-42-38_wcst_49_early_stopping_correct2,slow_earlystop,divisive_2,additive,0.0,70,70,2100,10,0.8965,0.897,8
success_2023-05-10-14-28-42_wcst_126_sparsity0,sparsity0,divisive_2,additive,0.0,70,70,2100,10,0.95,0.95,25
success_2023-05-01-09-44-09_wcst_48_final_maybe,fast_main,subtractive,additive,0.4,70,70,2100,10,0.955,0.955,7
success_2023-12-22-16-37-35_wcst_15_early_stopping_correct2,slow_earlystop,divisive_2,additive,0.0,70,70,2100,10,0.8225,0.8375,4
success_2024-01-02-14-42-38_wcst_6_early_stopping_correct2,slow_earlystop,subtractive,additive,0.0,70,70,2100,10,0.8545,0.9015,5
success_2023-05-10-14-28-42_wcst_118_sparsity0,sparsity0,divisive_2,additive,0.0,70,70,2100,10,0.95,0.95,17
success_2023-05-10-14-28-42_wcst_136_sparsity0,sparsity0,divisive_2,additive,0.0,70,70,2100,10,0.955,0.955,35
success_2023-05-01-09-44-09_wcst_93_final_maybe,fast_main,subtractive,additive,0.8,70,70,2100,10,0.95,0.95,2
success_2024-01-02-14-42-38_wcst_46_early_stopping_correct2,slow_earlystop,divisive_2,additive,0.0,70,70,2100,10,0.8465,0.874,5
success_2023-05-10-14-28-42_wcst_121_sparsity0,sparsity0,divisive_2,additive,0.0,70,70,2100,10,0.955,0.955,20
success_2023-05-01-09-44-09_wcst_139_final_maybe,fast_main,divisive_2,additive,0.2,70,70,2100,10,0.95,0.95,8
success_2023-05-10-14-28-42_wcst_23_sparsity0,sparsity0,subtractive,additive,0.0,70,70,2100,10,0.955,0.955,22
success_2024-01-02-14-42-38_wcst_50_early_stopping_correct2,slow_earlystop,divisive_2,additive,0.0,70,70,2100,10,0.8675,0.8715,9
success_2023-05-01-09-44-09_wcst_23_final_maybe,fast_main,subtractive,additive,0.2,70,70,2100,10,0.955,0.955,2
success_2023-05-01-09-44-09_wcst_190_final_maybe,fast_main,divisive_2,additive,0.8,70,70,2100,10,0.955,0.955,9
success_2023-05-01-09-44-09_wcst_85_final_maybe,fast_main,subtractive,additive,0.8,70,70,2100,10,0.95,0.95,4
success_2023-05-01-09-44-09_wcst_136_final_maybe,fast_main,divisive_2,additive,0.2,70,70,2100,10,0.95,0.95,5
success_2023-05-10-14-28-42_wcst_57_sparsity0,sparsity0,subtractive,additive,0.0,70,70,2100,10,0.955,0.955,6
success_2023-05-10-14-28-42_wcst_151_sparsity0,sparsity0,divisive_2,additive,0.0,70,70,2100,10,0.955,0.955,0
success_2023-05-10-14-28-42_wcst_44_sparsity0,sparsity0,subtractive,additive,0.0,70,70,2100,10,0.955,0.955,43
success_2023-05-01-09-44-09_wcst_40_final_maybe,fast_main,subtractive,additive,0.2,70,70,2100,10,0.955,0.955,9
success_2023-05-10-14-28-42_wcst_142_sparsity0,sparsity0,divisive_2,additive,0.0,70,70,2100,10,0.955,0.955,41
success_2024-01-04-12-22-50_wcst_20_early_stopping_var_iti,var_iti,divisive_2,additive,0.0,70,70,2100,10,0.908,0.908,4
success_2023-05-10-14-28-42_wcst_124_sparsity0,sparsity0,divisive_2,additive,0.0,70,70,2100,10,0.95,0.95,23
success_2023-05-01-09-44-09_wcst_133_final_maybe,fast_main,divisive_2,additive,0.2,70,70,2100,10,0.95,0.95,2
success_2023-05-01-09-44-09_wcst_80_final_maybe,fast_main,subtractive,additive,0.6,70,70,2100,10,0.955,0.955,9
success_2023-05-01-09-44-09_wcst_150_final_maybe,fast_main,divisive_2,additive,0.4,70,70,2100,10,0.955,0.955,9
success_2023-05-01-09-44-09_wcst_78_final_maybe,fast_main,subtractive,additive,0.6,70,70,2100,10,0.95,0.95,7
success_2024-01-04-12-22-50_wcst_10_early_stopping_var_iti,var_iti,subtractive,additive,0.0,70,70,2100,10,0.9295,0.9225,4
success_2023-05-01-09-44-09_wcst_45_final_maybe,fast_main,subtractive,additive,0.4,70,70,2100,10,0.955,0.955,4
success_2023-05-10-14-28-42_wcst_26_sparsity0,sparsity0,subtractive,additive,0.0,70,70,2100,10,0.955,0.955,25
success_2023-05-01-09-44-09_wcst_96_final_maybe,fast_main,subtractive,additive,0.8,70,70,2100,10,0.955,0.955,5
success_2023-05-10-14-28-42_wcst_143_sparsity0,sparsity0,divisive_2,additive,0.0,70,70,2100,10,0.955,0.955,42
success_2023-05-01-09-44-09_wcst_125_final_maybe,fast_main,divisive_2,additive,0.2,70,70,2100,10,0.955,0.955,4
success_2023-05-01-09-44-09_wcst_77_final_maybe,fast_main,subtractive,additive,0.6,70,70,2100,10,0.95,0.95,6
success_2023-05-10-14-28-42_wcst_150_sparsity0,sparsity0,divisive_2,additive,0.0,70,70,2100,10,0.955,0.955,49
success_2023-05-01-09-44-09_wcst_29_final_maybe,fast_main,subtractive,additive,0.2,70,70,2100,10,0.9495,0.9495,8
success_2024-01-02-14-42-38_wcst_53_early_stopping_correct2,slow_earlystop,divisive_2,additive,0.0,70,70,2100,10,0.846,0.914,12
success_2023-05-01-09-44-09_wcst_88_final_maybe,fast_main,subtractive,additive,0.8,70,70,2100,10,0.955,0.955,7
success_2023-05-10-14-28-42_wcst_179_sparsity0,sparsity0,divisive_2,additive,0.0,70,70,2100,10,0.955,0.955,28
success_2023-05-01-09-44-09_wcst_141_final_maybe,fast_main,divisive_2,additive,0.4,70,70,2100,10,0.955,0.955,0
success_2023-05-01-09-44-09_wcst_69_final_maybe,fast_main,subtractive,additive,0.6,70,70,2100,10,0.95,0.95,8
success_2023-05-10-14-28-42_wcst_144_sparsity0,sparsity0,divisive_2,additive,0.0,70,70,2100,10,0.95,0.95,43
success_2023-05-01-09-44-09_wcst_184_final_maybe,fast_main,divisive_2,additive,0.8,70,70,2100,10,0.95,0.95,3
success_2023-05-01-09-44-09_wcst_91_final_maybe,fast_main,subtractive,additive,0.8,70,70,2100,10,0.955,0.955,0
success_2023-05-10-14-28-42_wcst_42_sparsity0,sparsity0,subtractive,additive,0.0,70,70,2100,10,0.955,0.955,41
success_2023-05-10-14-28-42_wcst_18_sparsity0,sparsity0,subtractive,additive,0.0,70,70,2100,10,0.955,0.955,17
success_2024-01-02-14-42-38_wcst_70_early_stopping_correct2,slow_earlystop,divisive_2,additive,0.0,70,70,2100,10,0.864,0.887,9
success_2023-05-10-14-28-42_wcst_21_sparsity0,sparsity0,subtractive,additive,0.0,70,70,2100,10,0.955,0.955,20
success_2023-05-01-09-44-09_wcst_38_final_maybe,fast_main,subtractive,additive,0.2,70,70,2100,10,0.955,0.955,7
success_2023-05-01-09-44-09_wcst_87_final_maybe,fast_main,subtractive,additive,0.8,70,70,2100,10,0.955,0.955,6
success_2023-05-10-14-28-42_wcst_134_sparsity0,sparsity0,divisive_2,additive,0.0,70,70,2100,10,0.95,0.95,33
success_2023-05-10-14-28-42_wcst_189_sparsity0,sparsity0,divisive_2,additive,0.0,70,70,2100,10,0.955,0.955,38
success_2023-05-10-14-28-42_wcst_98_sparsity0,sparsity0,subtractive,additive,0.0,70,70,2100,10,0.955,0.955,47
success_2023-05-01-09-44-09_wcst_66_final_maybe,fast_main,subtractive,additive,0.6,70,70,2100,10,0.955,0.955,5
success_2023-05-10-14-28-42_wcst_183_sparsity0,sparsity0,divisive_2,additive,0.0,70,70,2100,10,0.95,0.95,32
success_2023-05-01-09-44-09_wcst_68_final_maybe,fast_main,subtractive,additive,0.6,70,70,2100,10,0.955,0.955,7
success_2023-05-10-14-28-42_wcst_16_sparsity0,sparsity0,subtractive,additive,0.0,70,70,2100,10,0.9455,0.9455,15
success_2023-05-01-09-44-09_wcst_55_final_maybe,fast_main,subtractive,additive,0.4,70,70,2100,10,0.95,0.95,4
success_2024-01-02-14-42-38_wcst_44_early_stopping_correct2,slow_earlystop,divisive_2,additive,0.0,70,70,2100,10,0.8935,0.8925,3
success_2023-05-01-09-44-09_wcst_107_final_maybe,fast_main,divisive_2,additive,0.0,70,70,2100,10,0.95,0.95,6
success_2023-05-01-09-44-09_wcst_89_final_maybe,fast_main,subtractive,additive,0.8,70,70,2100,10,0.95,0.95,8
success_2023-05-01-09-44-09_wcst_90_final_maybe,fast_main,subtractive,additive,0.8,70,70,2100,10,0.955,0.955,9
success_2024-01-02-14-42-38_wcst_52_early_stopping_correct2,slow_earlystop,divisive_2,additive,0.0,70,70,2100,10,0.8085,0.8425,11
success_2023-05-01-09-44-09_wcst_39_final_maybe,fast_main,subtractive,additive,0.2,70,70,2100,10,0.955,0.955,8
success_2024-01-02-14-42-38_wcst_41_early_stopping_correct2,slow_earlystop,divisive_2,additive,0.0,70,70,2100,10,0.825,0.84,0
success_2023-05-10-14-28-42_wcst_177_sparsity0,sparsity0,divisive_2,additive,0.0,70,70,2100,10,0.955,0.955,26
success_2023-05-01-09-44-09_wcst_43_final_maybe,fast_main,subtractive,additive,0.4,70,70,2100,10,0.95,0.95,2
success_2024-01-02-14-42-38_wcst_68_early_stopping_correct2,slow_earlystop,divisive_2,additive,0.0,70,70,2100,10,0.8675,0.86,7
success_2023-05-01-09-44-09_wcst_135_final_maybe,fast_main,divisive_2,additive,0.2,70,70,2100,10,0.95,0.95,4
success_2023-05-01-09-44-09_wcst_86_final_maybe,fast_main,subtractive,additive,0.8,70,70,2100,10,0.95,0.95,5
success_2023-05-01-09-44-09_wcst_81_final_maybe,fast_main,subtractive,additive,0.8,70,70,2100,10,0.95,0.95,0
success_2023-05-10-14-28-42_wcst_7_sparsity0,sparsity0,subtractive,additive,0.0,70,70,2100,10,0.955,0.955,6
success_2023-05-01-09-44-09_wcst_79_final_maybe,fast_main,subtractive,additive,0.6,70,70,2100,10,0.955,0.955,8
success_2024-01-04-12-22-50_wcst_11_early_stopping_var_iti,var_iti,divisive_2,additive,0.0,70,70,2100,10,0.85,0.8515,0
